Age,Salary,Company_CTS,Company_Infosys,Company_TCS,City_Bhopal,City_Calcutta,City_Chennai,City_Cochin,City_Delhi,City_Hyderabad,City_Mumbai,City_Nagpur,City_Noida,City_Podicherry,City_Pune,Country_India,Gender
0.3569313665547456,1.5282494637972444,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1
0.1182853947303518,-1.3952978013898554,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
-1.1942674503038144,-0.437511930534568,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
-0.9556214784794205,-0.42872874132585137,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
0.23760838064254872,-0.1547768874349286,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
1.072869282027927,-0.1547768874349286,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0.23760838064254872,-0.1547768874349286,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0.1182853947303518,-0.14055648585891123,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
-1.1942674503038144,-0.2283883779460773,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
-1.1942674503038144,-0.1547768874349286,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
-1.0749444643916175,-0.57302399261191,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
-0.12036057709404205,1.2442596793820742,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
1.072869282027927,-0.9912710977888913,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
-0.0010375911818451317,-0.1547768874349286,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
0.1182853947303518,-1.2840440714127783,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
-1.1942674503038144,1.1844503433417657,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
-1.1942674503038144,-0.1547768874349286,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
-1.3135904362160113,0.4909966429583306,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
-0.9556214784794205,-0.9912710977888913,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
1.4308382397645178,1.6369937111432595,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
-1.1942674503038144,-0.1547768874349286,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
-1.1942674503038144,1.4291248998703,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0.23760838064254872,-1.7905413157821026,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0.1182853947303518,0.26347021774205276,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
0.1182853947303518,0.7168500797539006,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1
1.5501612256767148,-0.1547768874349286,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
0.3569313665547456,-1.2840440714127783,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
0.1182853947303518,0.19445944538785084,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
-0.23968356300623897,-0.11378867112758441,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
0.1182853947303518,-0.14055648585891123,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1
0.1182853947303518,0.26347021774205276,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1
